asistencia_pct,nota_media,materias_suspensas,numero_materias_curso,evaluaciones_realizadas,partes_disciplinarios,matricula_activa,oferta_educativa,repetidor_curso_actual,dias_sin_actividad,inasistencias_consecutivas,grado_urbanizacion,distancia_escuela,acceso_internet,nivel_socioeconomico,apoyo_familiar,trabaja,abandono_escolar
69.45,7.78,4,14,1,1,1,1,1,8,11,1,9.66,1,6,1,0,0
95.69,7.31,3,11,4,1,1,3,0,17,2,1,7.34,1,6,1,0,0
73.63,4.66,6,10,1,0,1,1,1,1,1,2,15.14,1,3,1,0,0
66.38,6.16,6,14,1,2,1,3,0,1,17,3,1.0,1,4,1,0,0
61.83,6.06,6,13,1,0,1,4,1,11,1,3,9.08,0,2,1,0,0
52.97,3.91,10,14,1,3,1,2,1,28,5,3,1.0,1,6,1,0,0
53.13,4.6,6,12,2,3,1,2,1,1,1,1,13.71,1,5,0,0,0
50.27,3.42,9,11,3,1,1,4,0,6,1,2,22.57,1,6,0,1,0
69.15,5.12,7,14,3,0,1,4,0,1,8,2,18.12,1,5,1,1,0
95.46,6.04,6,11,2,2,1,4,0,19,1,3,21.76,1,1,1,0,0
72.81,4.71,8,14,1,3,1,3,0,8,1,1,25.56,0,1,1,0,0
52.92,3.73,8,14,2,2,1,3,1,20,8,3,27.38,1,5,1,1,0
61.46,6.73,5,14,1,2,1,4,1,25,1,1,9.01,0,5,1,0,0
69.38,5.84,6,10,1,4,1,4,0,1,4,1,6.82,1,2,0,0,0
4.87,4.19,7,13,2,2,0,3,0,27,39,2,17.13,0,2,1,1,1
26.46,4.01,7,10,1,3,0,2,0,36,1,1,1.0,1,2,1,0,1
64.44,4.15,9,12,2,0,1,4,0,12,6,1,7.79,1,1,0,1,0
74.86,7.11,3,11,4,5,1,1,0,1,4,3,13.75,1,4,1,0,0
75.86,6.46,4,10,1,2,1,3,0,9,1,1,36.63,1,6,1,0,0
67.11,3.75,10,13,1,4,1,1,1,13,5,1,19.52,1,2,1,0,0
83.87,3.6,9,13,2,3,1,4,0,1,17,1,33.9,1,2,1,1,0
57.14,4.94,8,13,3,0,1,4,0,4,6,1,12.69,1,4,1,1,0
56.07,8.02,3,10,1,0,1,4,0,14,1,3,8.78,1,3,1,1,0
84.2,7.66,3,11,1,0,1,1,0,1,7,3,13.85,1,1,1,1,0
75.9,4.52,6,12,3,3,1,3,0,17,1,1,14.97,1,5,1,0,0
73.76,5.85,7,13,1,2,1,1,1,13,1,1,4.86,0,1,1,0,0
99.99,6.68,3,12,3,0,1,4,0,14,1,3,19.87,1,2,1,1,0
89.38,7.12,2,10,3,3,1,3,0,1,13,1,30.97,1,5,1,0,0
68.32,4.48,8,12,2,1,1,4,0,2,1,2,15.41,1,3,1,1,0
76.15,7.88,4,11,3,1,1,3,0,18,6,1,39.2,1,1,1,1,0
81.39,7.22,3,14,2,1,1,3,0,1,1,3,19.14,1,6,1,0,0
79.1,3.43,9,11,3,1,1,2,0,9,1,3,20.56,0,1,1,1,0
83.21,7.08,3,11,2,0,1,4,0,1,7,1,13.54,1,2,1,0,0
72.87,7.34,3,12,2,4,1,1,0,1,8,2,22.54,1,6,1,0,0
39.33,3.27,7,11,2,5,1,4,0,1,10,2,50.0,1,3,0,1,0
70.56,6.48,3,10,3,1,1,3,1,21,13,1,19.59,1,6,1,0,0
60.41,5.82,7,14,4,6,1,1,0,7,2,2,1.0,1,3,1,1,0
64.29,6.33,5,12,2,2,1,1,1,1,2,3,1.22,1,5,1,1,0
6.27,4.82,8,13,1,5,0,2,0,40,24,1,5.48,0,5,1,0,1
100.0,5.58,6,14,4,0,1,3,0,16,1,2,20.52,1,3,0,0,0
60.11,7.8,4,14,2,0,1,2,0,8,10,3,8.65,1,6,1,0,0
72.88,7.11,3,11,3,0,1,2,0,3,20,1,21.18,1,2,1,0,0
100.0,5.77,6,13,2,4,1,4,0,20,1,1,4.92,1,6,1,0,0
74.66,5.21,7,11,2,0,1,4,0,17,1,1,1.76,0,4,0,0,0
60.21,3.55,10,13,3,1,1,4,0,1,19,3,13.31,1,5,1,1,0
83.62,5.52,7,14,3,0,1,2,1,1,15,2,16.62,1,6,1,0,0
74.99,5.12,5,11,2,2,1,4,0,3,6,3,18.62,0,1,1,1,0
100.0,3.57,9,13,2,1,1,1,0,1,23,3,17.88,1,1,1,0,0
74.21,4.76,6,13,2,0,1,3,1,3,4,2,20.5,1,4,1,0,0
73.36,5.76,7,14,2,3,1,1,0,3,13,2,18.3,1,4,0,0,0
59.57,6.62,5,12,1,1,1,3,0,4,11,1,13.17,1,2,1,1,0
99.16,6.2,4,10,3,1,1,1,0,4,10,3,22.99,0,4,1,0,0
84.38,6.53,3,10,1,3,1,2,0,18,16,1,8.9,1,6,1,0,0
84.86,7.39,3,12,3,0,1,1,0,8,6,1,32.92,0,4,1,0,0
0.0,,6,11,0,6,0,1,1,28,31,3,18.24,1,4,1,1,1
89.43,6.61,5,13,1,0,1,1,0,9,1,2,21.75,1,3,1,0,0
14.79,5.12,8,14,1,4,0,4,0,32,33,2,3.78,1,6,1,0,1
83.66,5.79,5,11,4,2,1,4,0,12,1,2,1.0,0,3,1,0,0
50.89,6.17,7,14,3,4,1,3,0,2,4,3,20.58,1,3,1,1,0
69.6,5.67,6,13,4,1,1,1,0,9,1,1,15.23,1,2,1,1,0
51.59,5.54,7,13,3,2,1,3,0,15,18,2,18.9,1,5,1,1,0
73.98,6.65,3,11,2,0,1,4,0,12,6,2,12.25,1,1,1,0,0
87.47,9.73,1,11,3,0,1,2,0,24,13,2,20.72,1,2,1,0,0
62.75,4.04,7,13,2,0,1,1,0,31,1,3,1.0,1,6,0,0,0
60.11,5.81,5,10,1,5,1,4,0,2,7,1,21.5,1,4,0,0,0
51.35,2.52,9,10,2,5,1,4,0,1,9,3,23.79,0,1,0,1,0
72.96,6.33,6,12,4,4,1,1,0,1,16,3,1.0,0,3,1,0,0
6.01,,6,11,0,5,0,4,1,30,23,3,18.23,1,1,1,0,1
55.99,6.47,4,11,1,3,1,2,0,8,6,2,1.0,1,4,1,1,0
48.99,4.58,8,12,2,5,1,3,0,22,8,2,13.16,1,1,1,1,0
85.69,7.93,4,10,4,1,1,1,0,10,22,2,21.72,1,4,0,0,0
73.68,6.73,5,12,1,4,1,1,0,23,1,1,1.0,1,5,1,1,0
54.25,7.58,3,10,4,5,1,3,0,1,3,2,12.74,1,6,1,0,0
100.0,6.42,5,14,4,2,1,4,0,1,1,1,11.67,1,3,1,0,0
48.99,7.5,3,13,4,2,1,2,0,9,1,3,2.6,1,1,1,0,0
64.29,7.93,3,12,2,0,1,4,0,1,5,1,17.04,1,5,1,0,0
72.05,4.95,5,10,4,0,1,1,0,2,5,2,1.0,1,1,1,0,0
26.47,2.82,10,13,1,3,0,4,0,33,1,3,9.79,1,6,0,1,1
79.21,4.64,7,13,3,1,1,3,1,17,1,1,1.0,1,1,1,0,0
45.27,4.93,8,14,4,3,1,3,0,23,19,2,15.11,1,2,0,0,0
100.0,5.07,7,14,2,0,1,2,0,21,4,2,14.03,1,6,1,0,0
48.65,3.68,8,13,2,5,1,2,0,1,1,3,20.82,1,6,0,0,0
4.88,1.21,9,11,1,9,0,3,0,39,20,2,17.39,1,4,0,1,1
48.44,3.63,9,12,4,3,1,4,0,8,1,3,31.09,1,5,1,1,0
29.02,1.57,10,10,1,1,1,4,1,32,1,1,3.36,0,6,0,0,0
60.73,4.42,6,11,4,1,1,4,0,1,8,3,2.92,1,3,0,1,0
45.35,3.23,10,13,2,2,1,2,1,17,10,1,19.51,1,6,1,1,0
54.96,7.36,3,10,2,0,1,3,0,15,1,3,1.0,1,3,1,0,0
55.59,5.14,4,10,4,3,1,4,0,10,8,3,1.0,1,4,1,0,0
79.01,6.57,5,10,3,0,1,1,0,1,1,3,8.15,1,4,1,0,0
95.09,4.81,7,11,2,3,1,3,0,4,12,3,26.42,1,3,1,0,0
34.93,4.2,7,12,1,3,1,3,0,2,10,3,5.96,1,6,1,0,0
73.3,6.88,6,14,3,2,1,3,0,8,15,1,7.88,1,5,1,0,0
60.69,4.67,6,13,1,2,1,2,0,5,9,1,32.75,1,3,0,0,0
81.07,4.69,6,13,1,0,1,3,0,6,15,3,1.92,1,3,0,0,0
43.94,9.01,2,10,3,2,1,2,0,6,6,2,9.81,1,6,1,0,0
80.44,6.46,6,12,4,0,1,4,0,1,7,1,23.44,1,1,0,0,0
77.08,9.91,1,13,2,2,1,3,0,5,11,3,14.48,1,5,1,0,0
18.11,3.22,10,14,1,5,0,1,0,36,25,3,7.22,1,4,1,0,1
67.18,4.53,9,14,3,1,1,3,0,13,14,1,2.21,1,6,0,0,0
35.34,0.12,10,14,2,4,1,3,1,13,12,1,25.56,1,6,0,1,0
3.2,0.63,10,11,1,1,0,3,0,49,18,1,26.96,1,5,0,1,1
34.82,2.81,8,12,1,9,0,1,0,9,8,1,13.29,1,2,1,0,1
71.64,5.84,7,14,3,0,1,1,1,17,9,2,16.71,1,4,1,0,0
80.23,3.73,10,13,3,0,1,1,0,23,18,1,10.74,1,5,0,1,0
25.84,,6,11,0,7,0,3,0,37,1,3,10.42,1,4,1,0,1
61.6,6.53,5,10,4,2,1,1,0,1,1,3,1.0,1,4,0,0,0
60.57,6.11,5,12,4,0,1,4,0,6,19,2,9.54,1,2,1,0,0
67.91,6.15,3,10,4,3,1,1,0,1,5,1,30.49,0,6,1,0,0
88.9,10.0,1,10,3,2,1,3,0,7,1,3,12.14,1,5,1,0,0
24.64,3.64,8,14,2,2,0,4,0,37,17,1,11.67,1,3,1,0,1
71.85,6.12,7,14,4,5,1,1,0,2,6,3,1.0,1,2,1,0,0
41.37,5.99,4,12,3,1,0,2,0,22,1,1,1.0,1,3,1,0,1
52.33,7.1,4,13,2,4,1,4,0,1,20,2,19.22,1,6,1,1,0
51.06,3.47,9,11,2,3,1,1,0,4,9,3,9.6,1,1,0,0,0
74.38,5.96,5,12,1,4,1,1,0,17,9,2,1.19,1,2,1,0,0
81.24,6.99,3,10,1,0,1,3,0,15,3,1,21.24,1,5,1,0,0
77.23,5.44,6,11,2,0,1,2,0,4,14,3,1.0,1,4,1,0,0
89.09,3.38,8,13,1,5,1,3,0,1,20,3,14.11,1,4,1,0,0
78.55,6.44,5,14,2,4,1,3,0,4,9,1,13.14,1,3,1,0,0
72.25,5.96,5,11,3,0,1,2,1,6,5,1,1.0,1,3,1,0,0
61.15,4.33,6,11,2,2,1,2,1,11,4,2,6.6,1,6,0,0,0
60.33,7.11,5,13,4,0,1,4,0,11,1,3,22.29,1,6,1,0,0
24.09,7.0,4,10,1,8,0,3,0,37,27,2,1.0,1,6,1,0,1
52.81,6.48,5,10,3,0,1,1,0,3,6,3,13.87,1,3,1,1,0
56.67,3.92,10,14,4,0,1,2,0,3,1,2,2.24,1,1,0,0,0
95.8,7.24,5,14,1,2,1,2,0,1,27,1,3.42,1,3,1,0,0
90.5,10.0,1,13,3,1,1,3,0,4,6,3,23.49,1,3,1,0,0
61.45,5.56,6,12,4,5,1,2,0,9,20,2,19.08,1,6,1,0,0
63.56,7.43,4,11,4,0,1,1,0,16,13,2,4.73,1,6,1,0,0
68.29,6.77,6,13,1,0,1,3,0,9,10,1,15.8,1,6,1,0,0
59.16,4.75,5,11,2,2,1,3,1,15,14,1,11.3,1,2,0,1,0
47.09,6.91,5,14,2,0,1,2,0,14,7,1,1.19,1,5,1,0,0
83.8,5.34,7,12,4,2,1,2,0,9,11,2,21.38,1,1,0,0,0
72.26,5.85,6,12,2,1,1,4,0,10,2,2,14.22,1,4,1,0,0
72.82,6.22,4,12,2,1,1,4,0,22,1,2,26.47,1,2,1,0,0
60.95,4.7,8,13,3,3,1,2,1,20,1,2,12.82,1,2,0,0,0
83.98,8.75,3,13,1,1,1,3,0,4,17,1,7.54,0,4,0,0,0
75.8,4.07,6,11,3,1,1,1,1,25,1,2,1.0,1,6,1,1,0
58.22,6.45,3,10,1,2,1,3,0,1,1,1,27.51,1,5,1,0,0
65.02,6.43,4,12,2,3,1,1,0,19,4,1,1.0,1,3,1,0,0
77.74,6.93,6,14,1,6,1,2,0,11,9,3,5.62,0,5,1,0,0
64.04,5.54,7,14,1,4,1,1,0,3,1,3,26.21,1,6,1,0,0
71.44,5.67,6,12,4,3,1,1,0,1,9,2,14.03,1,1,1,0,0
49.26,5.58,4,11,3,1,1,3,0,25,20,3,14.86,1,6,1,0,0
85.02,6.23,4,11,2,0,1,4,0,16,22,1,1.0,0,4,1,0,0
43.04,3.92,9,14,4,2,1,3,1,9,20,1,11.84,0,5,1,1,0
75.83,3.57,7,10,3,4,1,4,1,35,1,2,18.82,1,3,0,0,0
95.7,6.19,6,14,3,4,1,1,0,15,3,3,20.2,1,4,0,0,0
87.61,8.57,3,12,1,3,1,3,0,20,15,2,10.33,1,1,1,0,0
66.2,6.25,6,14,3,1,1,3,0,22,1,3,12.29,1,6,1,1,0
28.18,0.37,10,11,0,7,0,1,0,47,6,1,18.45,1,6,1,1,1
100.0,6.87,5,13,2,5,1,3,0,6,7,2,11.05,1,5,1,0,0
84.19,5.83,6,10,1,2,1,2,0,16,7,2,22.74,1,2,1,0,0
56.6,7.49,3,13,3,0,1,1,0,11,1,1,6.41,1,2,1,1,0
77.66,5.67,7,12,3,5,1,1,0,25,5,3,1.0,1,6,1,0,0
39.02,2.97,10,12,2,5,1,1,0,14,1,1,14.44,0,6,1,0,0
71.54,7.48,3,14,2,1,1,1,0,1,12,2,30.47,1,4,1,0,0
55.95,6.43,4,11,1,2,1,1,0,1,1,2,9.59,1,5,1,0,0
57.28,4.38,7,11,2,4,1,1,0,1,17,1,15.43,1,5,0,1,0
58.85,5.46,5,10,3,4,1,2,0,15,9,3,13.97,1,5,0,1,0
27.64,3.49,9,14,2,7,0,3,0,29,17,3,11.6,1,6,1,0,1
38.54,3.76,9,14,2,1,1,4,0,11,1,3,7.54,1,3,0,1,0
51.66,4.12,7,13,3,3,1,1,0,5,1,1,19.86,1,4,1,0,0
70.38,5.69,6,12,3,0,1,2,0,1,5,2,27.03,1,6,1,1,0
75.16,5.01,5,10,1,0,1,4,1,7,6,3,9.53,1,2,1,1,0
49.77,8.0,2,11,3,3,1,4,0,1,3,3,6.29,0,6,0,0,0
88.59,6.59,5,11,2,0,1,3,0,23,13,1,18.98,1,4,1,0,0
77.9,8.07,2,10,1,0,1,2,0,18,11,2,25.17,1,5,1,0,0
82.96,9.1,2,14,3,2,1,1,0,30,1,2,5.49,1,2,1,0,0
60.74,6.08,4,10,2,0,1,3,0,6,9,2,11.76,1,1,0,0,0
100.0,5.76,4,10,1,2,1,3,0,27,9,2,18.14,1,1,1,1,0
