,count,mean,std,min,25%,50%,75%,max,null_values,null_percentage
asistencia_pct,2000.0,65.318905,21.894920861486128,0.0,55.08,68.595,79.5825,100.0,0,0.0
nota_media,1953.0,5.628330773169483,1.801245436382959,0.0,4.52,5.72,6.84,10.0,47,2.35
materias_suspensas,2000.0,5.7715,2.300637784856311,0.0,4.0,6.0,7.0,10.0,0,0.0
numero_materias_curso,2000.0,11.979,1.4190016853025387,10.0,11.0,12.0,13.0,14.0,0,0.0
evaluaciones_realizadas,2000.0,2.3255,1.176112822260408,0.0,1.0,2.0,3.0,4.0,0,0.0
partes_disciplinarios,2000.0,1.9765,1.8104106007399636,0.0,0.0,2.0,3.0,10.0,0,0.0
matricula_activa,2000.0,0.9135,0.28117126211496024,0.0,1.0,1.0,1.0,1.0,0,0.0
oferta_educativa,2000.0,2.4855,1.1186668215911584,1.0,1.0,2.0,3.0,4.0,0,0.0
repetidor_curso_actual,2000.0,0.208,0.4059783358808723,0.0,0.0,0.0,0.0,1.0,0,0.0
dias_sin_actividad,2000.0,12.9535,11.428194939262495,1.0,4.0,11.0,19.0,65.0,0,0.0
inasistencias_consecutivas,2000.0,8.1745,8.018678154763093,1.0,1.0,6.0,12.0,45.0,0,0.0
grado_urbanizacion,2000.0,1.969,0.816928813510193,1.0,1.0,2.0,3.0,3.0,0,0.0
distancia_escuela,2000.0,12.84591,8.84173829854571,1.0,5.92,11.895,18.93,50.0,0,0.0
acceso_internet,2000.0,0.8695,0.3369369573920741,0.0,1.0,1.0,1.0,1.0,0,0.0
nivel_socioeconomico,2000.0,3.524,1.7075953680455114,1.0,2.0,4.0,5.0,6.0,0,0.0
apoyo_familiar,2000.0,0.7845,0.41127159172629524,0.0,1.0,1.0,1.0,1.0,0,0.0
trabaja,2000.0,0.2575,0.43736643069324443,0.0,0.0,0.0,1.0,1.0,0,0.0
abandono_escolar,2000.0,0.092,0.2890982339870779,0.0,0.0,0.0,0.0,1.0,0,0.0
