,count,mean,std,min,25%,50%,75%,max,null_values,null_percentage
asistencia_pct,1000.0,64.23543,22.893712509935725,0.0,53.8325,68.265,79.5425,100.0,0,0.0
nota_media,969.0,5.61,1.7909824050522136,0.0,4.53,5.7,6.76,10.0,31,3.1
materias_suspensas,1000.0,5.814,2.2734494875788576,0.0,4.0,6.0,7.0,10.0,0,0.0
numero_materias_curso,1000.0,11.953,1.4095310488874582,10.0,11.0,12.0,13.0,14.0,0,0.0
evaluaciones_realizadas,1000.0,2.289,1.1886512911244795,0.0,1.0,2.0,3.0,4.0,0,0.0
partes_disciplinarios,1000.0,2.049,1.831926569203841,0.0,0.0,2.0,3.0,9.0,0,0.0
matricula_activa,1000.0,0.893,0.3092679204939411,0.0,1.0,1.0,1.0,1.0,0,0.0
oferta_educativa,1000.0,2.515,1.1193873449472385,1.0,2.0,3.0,4.0,4.0,0,0.0
Repetidor_curso_actual,1000.0,0.205,0.4039036248143091,0.0,0.0,0.0,0.0,1.0,0,0.0
dias_sin_actividad,1000.0,13.501,11.997330325323837,1.0,3.75,11.0,19.0,63.0,0,0.0
inasistencias_consecutivas,1000.0,8.54,8.335098912063003,1.0,1.0,6.0,13.0,45.0,0,0.0
grado_urbanizacion,1000.0,1.985,0.8132874254754199,1.0,1.0,2.0,3.0,3.0,0,0.0
distancia_escuela,1000.0,12.7143,8.886049582755387,1.0,5.4375,11.815000000000001,18.872500000000002,50.0,0,0.0
acceso_internet,1000.0,0.871,0.33536766610910995,0.0,1.0,1.0,1.0,1.0,0,0.0
nivel_socioeconomico,1000.0,3.568,1.7234692762989268,1.0,2.0,4.0,5.0,6.0,0,0.0
apoyo_familiar,1000.0,0.801,0.399447817065707,0.0,1.0,1.0,1.0,1.0,0,0.0
trabaja,1000.0,0.258,0.43775292989039793,0.0,0.0,0.0,1.0,1.0,0,0.0
abandono_escolar,1000.0,0.113,0.31675121362250747,0.0,0.0,0.0,0.0,1.0,0,0.0
